item_id,product_id,component_id
1,NULL,1
2,NULL,2
3,NULL,3
4,NULL,4
5,NULL,5
6,NULL,6
7,NULL,7
8,NULL,8
9,NULL,9
10,NULL,10
11,NULL,11
12,NULL,12
13,NULL,13
14,NULL,14
15,NULL,15
16,30,NULL
17,31,NULL
18,32,NULL
19,33,NULL
20,34,NULL
21,35,NULL
22,36,NULL
23,37,NULL
24,38,NULL
25,NULL,16
26,NULL,17
27,NULL,18
28,NULL,19
29,NULL,20
30,NULL,21
31,NULL,22
32,NULL,23
33,NULL,24
34,NULL,200
35,NULL,201
36,NULL,202
37,NULL,203
38,NULL,204
39,NULL,205
40,NULL,206
41,NULL,207
42,NULL,208
43,NULL,209
44,NULL,210
45,NULL,211
46,NULL,212
47,NULL,213
48,NULL,214
49,NULL,215
50,NULL,216
51,NULL,217
52,NULL,218
53,NULL,219
54,NULL,220
55,NULL,221
56,NULL,222
57,NULL,223
58,NULL,224
59,NULL,225
60,NULL,226
61,NULL,227
62,NULL,228
63,NULL,229
64,NULL,230
65,NULL,231
66,NULL,232
67,NULL,233
68,NULL,234
69,NULL,235
70,NULL,236
71,NULL,237
72,NULL,238
73,NULL,239
74,NULL,240
75,NULL,241
76,NULL,242
77,NULL,243
78,NULL,244
79,NULL,245
80,NULL,246
81,NULL,247
82,NULL,248
83,NULL,249
84,NULL,250
85,NULL,251
86,NULL,252
87,NULL,253
88,NULL,254
89,NULL,255
90,NULL,256
91,NULL,257
92,NULL,258
93,NULL,259
94,NULL,260
95,NULL,261
96,NULL,262
97,NULL,263
98,NULL,264
99,NULL,265
100,NULL,266
101,NULL,267
102,NULL,268
103,NULL,269
104,NULL,270
105,NULL,271
106,NULL,272
107,NULL,273
108,NULL,274
109,NULL,275
110,NULL,276
111,NULL,277
112,NULL,278
113,NULL,279
114,NULL,280
115,NULL,281
116,NULL,282
117,NULL,283
118,NULL,284
119,NULL,285
120,NULL,286
121,NULL,287
122,NULL,288
123,NULL,289
124,NULL,290
125,NULL,291
126,NULL,292
127,NULL,293
128,NULL,294
129,NULL,295
130,NULL,296
131,NULL,297
132,NULL,298
133,NULL,299
134,NULL,300
135,NULL,301
136,NULL,302
137,NULL,303
138,NULL,304
139,NULL,305
140,NULL,306
141,NULL,307
142,NULL,308
143,NULL,309
144,NULL,310
145,NULL,311
146,NULL,312
147,NULL,313
148,NULL,314
149,NULL,315
150,NULL,316
151,NULL,317
152,NULL,318
153,NULL,319
154,NULL,320
155,NULL,321
156,NULL,322
157,NULL,323
158,NULL,324
159,NULL,325
160,NULL,326
161,NULL,327
162,NULL,328
163,NULL,329
164,NULL,330
165,NULL,331
166,NULL,332
167,NULL,333
168,NULL,334
169,NULL,335
170,NULL,336
171,NULL,337
172,NULL,338
173,NULL,339
174,NULL,340
175,NULL,341
176,NULL,342
177,NULL,343
178,NULL,344
179,NULL,345
180,NULL,346
181,NULL,347
182,NULL,348
183,NULL,349
184,NULL,350
185,NULL,351
186,NULL,352
187,NULL,353
188,NULL,354
189,NULL,355
190,NULL,356
191,NULL,357
192,NULL,358
193,NULL,359
194,NULL,360
195,NULL,361
196,NULL,362
197,NULL,363
198,NULL,364
199,NULL,365
200,NULL,366
201,NULL,367
202,NULL,368
203,NULL,369
204,NULL,370
205,NULL,371
206,NULL,372
207,NULL,373
208,NULL,374
209,NULL,375
210,NULL,376
211,NULL,377
212,NULL,378
213,NULL,379
214,NULL,380
215,NULL,381
216,NULL,382
217,NULL,383
218,NULL,384
219,NULL,385
220,NULL,386
221,NULL,387
222,NULL,388
223,NULL,389
224,NULL,390
225,NULL,391
226,NULL,392
227,NULL,393
228,NULL,394
229,NULL,395
230,NULL,396
231,NULL,397
232,NULL,398
233,NULL,399
234,NULL,400
235,NULL,401
236,NULL,402
237,NULL,403
238,NULL,404
239,NULL,405
