name_id,organization_id,organization_initial,organization_name,primary_name
1,1,PLX,Prolifix Nutrition,1
2,1,PLX,Prolifix,0
3,2,ARL,Albion laboratories,1
4,2,ARL,Albion,0
5,3,AM,Aloha Medicinals,1
6,4,ANI,AuNutra Industries Inc.,1
7,4,ANI,AuNutra,0
8,5,AS,Azure Standard,1
9,5,AS,Azure Market,0
10,5,AS,Azure,0
11,6,BK,Bio Kinetics Corporation,1
12,6,BK,Bio-Kinetics,0
13,7,BS,Bulk Supplements,1
14,8,CC,Cambridge Commodities,1
15,9,ER,Ecuadorian Rainforest,1
16,9,ER,Ecuadorian,0
17,10,D,Daesang,1
18,11,HQO,High Quality Organics,1
19,12,H,Honeyville Inc.,1
20,12,H,Honeyville,0
21,13,HN,Hunan Nutramax Inc,1
22,13,HN,Hunan Nutramax,0
23,13,HN,Nutramax,0
24,14,LN,Liberty Natural,1
25,15,LD,LiquaDry,1
26,16,LOOV,LOOV Organic,1
27,16,LOOV,LOOV,0
28,17,NF,Nature's Flavors,1
29,18,NPN,Nature's Power Nutraceuticals Corp. dba NP Nutra,1
30,18,NPN,NP Nutra,0
31,18,NPN,Nutraceuticals,0
32,19,N,Nexira International S.A.S.,1
33,20,NAR,North American Reishi Ltd. DBA Nammex,1
34,21,OF,Om Foods Inc (Essential Organics),1
35,21,OF,Essential Organics,0
36,22,PB,Pacific Botanicals Holding LLC,1
37,22,PB,Pacific Botanicals,0
38,23,PFL,Prescribed for Life,1
39,23,PFL,Prescribed 4 life,0
40,24,PB,Pure Bulk,1
41,25,SE,Specialty Enzymes E&P,1
42,25,SE,Specialty E+P,0
43,26,AS,The Australian Superfood Co.,1
44,26,AS,Australian Superfood,0
45,27,TYH,To Your Health Sprouted Flour Co.,1
46,27,TYH,To Your Health,0
47,28,UE,Unichem Enterprises,1
48,28,UE,Unichem,0
49,29,WH,Whole Herb Company,1
50,29,WH,Whole Herb,0
51,30,ZBB,"Zhejiang Biosan Biotech Co.,Ltd",1
52,30,ZBB,Biosan,0
53,31,HB,Healthway Biotech,1
54,31,HB,Healthway Bio,0
