product_id,organization_id,product_name,type,current_product,date_entered,spec_issue_date,spec_revise_date,exp_time_frame,exp_unit,exp_type,exp_use_oldest_ingredient,default_formula_id,certified_usda_organic,certified_halal,certified_kosher,certified_gluten_free,certified_national_sanitation_foundation,certified_us_pharmacopeia,certified_non_gmo,certified_vegan
1,44,Fiber & Spice,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
2,47,Gold Fulvic Acid,Liquid,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
3,47,Gold Fulvic Acid,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
4,33,Herbal Pixie Premix,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
5,33,Viva Mix,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
6,34,Best Start Functional Protein,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
7,34,Limitless Protein,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
8,35,Amazing Greens,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
9,35,Amazing Greens,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
10,35,Amore,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
11,35,Breathe,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
12,35,Fireworks,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
13,35,Hemroid Harry,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
14,35,Irish Sea Moss,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
15,35,"Irish Sea Moss (bladderwrack, burdock)",Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
16,35,My Secret,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
17,35,Sweet Cheat Herbally,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
18,35,System Cleanse Tea,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
19,36,Blackseed Oil,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
20,36,Dutch Chocolate Whey,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
21,36,Earth Nutrutional Yeast,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
22,36,Tahitian Vanilla,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
23,36,Wheatgrass Juice,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
24,37,Beet Juice,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
25,37,Large Kamut Blend,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
26,37,Small Kamut Blend,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
27,43,Super 15 SBO,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
28,38,Large Blackseed Oil,Liquid,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
29,38,Large Spirulina (Pouch),Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
30,38,Small Blackseed Oil,Liquid,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
31,38,Small Spirulina (Pouch),Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
32,38,Ashwagandha,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
33,38,Black Seed Oil,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
34,38,Camu Camu,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
35,35,Candisolve,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
36,38,Lions Mane,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
37,38,Maca Plus,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
38,38,Mental Mushroom,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
39,38,Mental Mushroom,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
40,38,Large Moringa,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
41,38,Small Moringa,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
42,38,Moringa Capsules,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
43,38,Purple Sea Moss,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
44,38,Raw Sea Moss,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
45,38,Small Spirulina,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
46,38,Large Spirulina,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
47,38,Wheatgrass Juice,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
48,46,Tranont,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
49,39,Age Free,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
50,39,Age Free,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
51,39,Charconite,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
52,39,Free Colon,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
53,39,Free Colon,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
54,39,Free Liver,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
55,39,Free Liver,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
56,39,Green Formula,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
57,39,Green Pro C,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
58,39,Happy Time,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
59,39,Happy Time,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
60,39,Heart Formula,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
61,39,Heart Formula,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
62,39,Kidney Formula,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
63,39,Kidney Formula,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
64,39,Manforce,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
65,39,Manforce,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
66,39,Small Markus Sweet,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
67,39,Large Markus Sweet,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
68,39,Night Rebuild,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
69,39,Night Rebuild,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
70,39,Parasite Free,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
71,39,Power Formula,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
72,39,Prebiotic Fiber,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
73,39,Prostate Formula,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
74,39,Prostate Formula,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
75,39,Super Plant Protein,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
76,39,Sweetened Super Plant Protein (Lupini),Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
77,39,Trim Force,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
78,39,Trim Force,Capsule,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
79,39,Unsweetened Green Formula (No Peppermint),Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
80,39,Unsweetened Green Formula (With Peppermint),Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
81,39,Unsweetened Super Plant Protein (Lupini),Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
82,39,Unsweetened Super Plant Protein,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
83,39,Vitamin C,Powder,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
84,45,Aloe Path V15,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
85,45,Aloe Path V17,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
86,45,Biome Defense V77,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
87,45,Biome Defense V79,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
88,45,Bladder Builder (Vitamin E),Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
89,45,Bladder Builder (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
90,45,Bladder Rest V,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
91,45,Bladder Smart V1,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
92,45,CystoMend V13 (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
93,45,CystoMend V9,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
94,45,CystoMend V9 (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
95,45,D-Mannose,Powder,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
96,45,L. Flora v3,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
97,45,PEAORA (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
98,45,Peaora Omega 3,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
99,45,Prevent Capsules,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
100,45,Prevent Capsules (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
101,45,Prostatitis V151,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
102,45,Prostatitis V155,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
103,45,Prostatitis V159,Capsule,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,0,0,0,0,0,0,0
