2022-06-16 11:20:00,745 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:20:00,747 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 11:20:32,057 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:20:32,061 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 11:20:51,619 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:20:51,628 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 11:22:26,837 |$| ERROR |$| File:db.py |$| Line:979 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 11:22:27,498 |$| ERROR |$| File:db.py |$| Line:998 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 11:22:31,638 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:22:32,417 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:22:32,485 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 11:22:32,555 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:25:15,172 |$| ERROR |$| File:db.py |$| Line:979 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 11:25:16,309 |$| ERROR |$| File:db.py |$| Line:998 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 11:25:19,164 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
