prefix,year,month,sec_number,suffix,product_id,so_detail_id,target_unit_yield,actual_unit_yield,retentions,total_shippable_product,doc,batch_printed,bpr_printed,exp_date,exp_type
,21,10,170,,37,1,5279,5553,NULL,NULL,"{""_id"": ""2110170"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,171,,37,1,5279,NULL,NULL,NULL,"{""_id"": ""2110171"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,173,,5,2,8,8,NULL,NULL,"{""_id"": ""2110173"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,174,,5,2,8,8,NULL,NULL,"{""_id"": ""2110174"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,175,,5,2,12,12,NULL,NULL,"{""_id"": ""2110175"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,176,,5,2,12,12,NULL,NULL,"{""_id"": ""2110176"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,177,,49,3,1530,1549,NULL,NULL,"{""_id"": ""2110177"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,178,,54,4,1523,1621,NULL,NULL,"{""_id"": ""2110178"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,179,,83,5,1000,1014,NULL,NULL,"{""_id"": ""2110179"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,180,,83,5,1000,1014,NULL,NULL,"{""_id"": ""2110180"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,181,,83,5,1000,1009,NULL,NULL,"{""_id"": ""2110181"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,182,,83,5,1000,1011,NULL,NULL,"{""_id"": ""2110182"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,183,,83,5,1000,1011,NULL,NULL,"{""_id"": ""2110183"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,184,BLOT 52,56,6,628,635,NULL,NULL,"{""_id"": ""2110184 BLOT 52"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,185,BLOT 53,56,6,628,633,NULL,NULL,"{""_id"": ""2110185 BLOT 53"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,186,BLOT 54,56,6,628,636,NULL,NULL,"{""_id"": ""2110186 BLOT 54"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,187,BLOT 55,56,6,628,636,NULL,NULL,"{""_id"": ""2110187 BLOT 55"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,188,BLOT 56,56,6,628,631,NULL,NULL,"{""_id"": ""2110188 BLOT 56"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
,21,10,189,BLOT 57,56,6,628,633,NULL,NULL,"{""_id"": ""2110189 BLOT 57"", ""production"": [], ""lab_results"": []}",1,1,NULL,NULL
