so_detail_id,prefix,year,month,sec_number,product_id,unit_order_qty,kilos_order_qty,special_instructions,date_entered,bid_price_per_unit,completed_and_billed,final_ship_date
1,,21,10,037,37,11000,663.32,NULL,NULL,NULL,NULL,NULL
2,,21,10,038,5,40,1000,NULL,NULL,NULL,NULL,NULL
3,,21,10,039,49,1500,NULL,NULL,NULL,NULL,NULL,NULL
4,,21,10,039,54,1500,NULL,NULL,NULL,NULL,NULL,NULL
5,,21,10,040,83,5000,NULL,NULL,NULL,NULL,NULL,NULL
6,,21,10,041,56,5000,NULL,NULL,NULL,NULL,NULL,NULL
7,,21,10,041,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,,21,10,041,56,NULL,1366,NULL,NULL,NULL,NULL,NULL
9,,21,10,041,83,NULL,910,NULL,NULL,NULL,NULL,NULL
10,,21,10,041,57,3000,456,NULL,NULL,NULL,NULL,NULL
11,,21,10,041,67,1500,NULL,NULL,NULL,NULL,NULL,NULL
12,,21,10,042,5,975,NULL,NULL,NULL,NULL,NULL,NULL
13,,21,11,043,26,1000,NULL,NULL,NULL,NULL,NULL,NULL
14,,21,11,044,24,1000,120,NULL,NULL,NULL,NULL,NULL
15,,21,11,045,45,1225,NULL,NULL,NULL,NULL,NULL,NULL
16,,21,11,045,46,130,NULL,NULL,NULL,NULL,NULL,NULL
17,,21,11,046,4,39,975,NULL,NULL,NULL,NULL,NULL
18,,21,11,046,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,,21,11,047,5,32,800,NULL,NULL,NULL,NULL,NULL
20,,21,11,048,5,3,9.5533,NULL,NULL,NULL,NULL,NULL
21,,21,11,049,110,3000,175.77,NULL,NULL,NULL,NULL,NULL
22,,21,11,050,26,1000,273.23,NULL,NULL,NULL,NULL,NULL
23,,21,12,051,5,3,60,NULL,NULL,NULL,NULL,NULL
24,,21,12,052,13,1000,NULL,NULL,NULL,NULL,NULL,NULL
25,,21,12,053,8,1000,NULL,NULL,NULL,NULL,NULL,NULL
26,,21,12,054,9,2000,NULL,NULL,NULL,NULL,NULL,NULL
