organization_id,date_entered,website_url,vetted,date_vetted,risk_level,supplier,client,lab,other,notes
1,2020-07-01,www.prolifixnutrition.com,1,NULL,No Risk,1,1,0,0,NULL
2,2022-02-17,balchem.com,0,2022-02-17,No Risk,0,0,1,0,Data from survey
3,2022-01-19,https://alohamedicinals.com/,0,2022-01-19,UNKNOWN,1,0,0,0,Data from survey
4,2022-02-09,www.aunutra.com,0,2022-02-09,UNKNOWN,1,0,0,0,Data from survey
5,2022-02-22,https://www.azurestandard.com/,0,2022-02-22,UNKNOWN,1,0,0,0,Data from survey
6,2022-01-20,allsprouts.com,0,2022-01-20,UNKNOWN,1,0,0,0,Data from survey
7,2022-03-09,bulksupplements.com,0,2022-03-09,UNKNOWN,1,0,0,0,Data from survey
8,2022-02-23,cambridgecommodities.com,0,2022-02-23,UNKNOWN,1,0,0,0,Data from survey
9,2022-02-25,intotherainforest.com,0,2022-02-25,UNKNOWN,1,0,0,0,Data from survey
10,2022-02-25,foodtopiausa.com,0,2022-02-25,UNKNOWN,1,0,0,0,Data from survey
11,2022-02-22,hqorganics.com,0,2022-02-22,UNKNOWN,1,0,0,0,Data from survey
12,2022-01-28,https://honeyville.com/,0,2022-01-28,UNKNOWN,1,0,0,0,Data from survey
13,2022-01-24,www.nutra-max.com,0,2022-01-24,UNKNOWN,1,0,0,0,Data from survey
14,2022-03-09,Libertynatural.com,0,2022-03-09,UNKNOWN,1,0,0,0,Data from survey
15,2022-01-19,LiquaDry.com,0,2022-01-19,UNKNOWN,1,0,0,0,Data from survey
16,2022-02-21,loovfood.com,0,2022-02-21,UNKNOWN,1,0,0,0,Data from survey
17,2022-02-21,naturesflavors.com,0,2022-02-21,UNKNOWN,1,0,0,0,Data from survey
18,2022-01-26,www.npnutra.com,0,2022-01-26,UNKNOWN,1,0,0,0,Data from survey
19,2022-03-01,nexira.com,0,2022-03-01,UNKNOWN,1,0,0,0,Data from survey
20,2022-02-02,https://www.nammex.com/,0,2022-02-02,UNKNOWN,1,0,0,0,Data from survey
21,2022-02-01,essentialorganicingredients.com,0,2022-02-01,UNKNOWN,1,0,0,0,Data from survey
22,2022-01-31,www.pacificbotanicals.com,0,2022-01-31,UNKNOWN,1,0,0,0,Data from survey
23,2022-02-17,pforlife.com,0,2022-02-17,UNKNOWN,1,0,0,0,Data from survey
24,2022-03-08,purebulk.com,0,2022-03-08,UNKNOWN,1,0,0,0,Data from survey
25,2022-03-08,specialtyenzymes.com,0,2022-03-08,UNKNOWN,1,0,0,0,Data from survey
26,2022-01-30,https://austsuperfoods.com.au/,0,2022-01-30,UNKNOWN,1,0,0,0,Data from survey
27,2022-01-30,Healthyflour.com,0,2022-01-30,UNKNOWN,1,0,0,0,Data from survey
28,2022-03-01,unichemsupply.com,0,2022-03-01,UNKNOWN,1,0,0,0,Data from survey
29,2022-02-17,wholeherbcompany.com,0,2022-02-17,UNKNOWN,1,0,0,0,Data from survey
30,2022-02-17,qualitymushroom.com,0,2022-02-17,UNKNOWN,1,0,0,0,Data from survey
31,2022-03-15,xahealthway.com,0,2022-03-15,UNKNOWN,1,0,0,0,Data from survey
32,2022-03-23,stryka.com,0,2022-03-23,UNKNOWN,1,0,0,0,Data from survey
33,NULL,NULL,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
34,NULL,https://enerex.ca/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
35,NULL,https://herballygrounded.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
36,NULL,NULL,0,NULL,UNKNOWN,1,1,0,0,Data from URL Library
37,NULL,https://immunesolution.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
38,NULL,https://majusuperfoods.com/,0,NULL,UNKNOWN,1,1,0,0,Data from URL Library
39,NULL,https://www.markusrothkranz.com/online-store/index.html,0,NULL,UNKNOWN,1,1,0,0,Data from URL Library
40,NULL,https://makes3organics.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
41,NULL,https://revelationhealth.com/,0,NULL,UNKNOWN,1,1,0,0,Data from URL Library
42,NULL,https://vita-myr.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
43,NULL,https://www.knlifebiotics.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
44,NULL,https://www.balanceofnature.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
45,NULL,https://www.naturalapproachnutrition.com/,0,NULL,UNKNOWN,1,1,0,0,Data from URL Library
46,NULL,https://www.tranont.com/,0,NULL,UNKNOWN,0,1,0,0,Data from URL Library
47,NULL,https://www.bloomfieldroots.com/,0,NULL,UNKNOWN,1,1,0,0,Data from URL Library
48,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
49,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
50,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
51,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
52,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
53,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
54,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
55,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
56,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
57,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
58,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
59,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
60,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
61,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
62,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
63,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
64,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
65,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
66,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
67,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
68,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
69,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
70,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
71,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
72,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
73,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
74,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
75,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
76,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
77,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
78,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
79,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
80,NULL,NULL,0,NULL,UNKNOWN,1,0,0,0,Data from Powders Inventory
