prefix,year,month,sec_number,suffix,product_id,po_detail_id,target_unit_yield,actual_unit_yield,batch_printed,bpr_printed,exp_date,exp_type
,21,10,170,,37,1,5279,5553,1,1,NULL,NULL
,21,10,171,,37,1,5279,NULL,1,1,NULL,NULL
,21,10,173,,5,2,8,8,1,1,NULL,NULL
,21,10,174,,5,2,8,8,1,1,NULL,NULL
,21,10,175,,5,2,12,12,1,1,NULL,NULL
,21,10,176,,5,2,12,12,1,1,NULL,NULL
,21,10,177,,49,3,1530,1549,1,1,NULL,NULL
,21,10,178,,54,4,1523,1621,1,1,NULL,NULL
,21,10,179,,83,5,1000,1014,1,1,NULL,NULL
,21,10,180,,83,5,1000,1014,1,1,NULL,NULL
,21,10,181,,83,5,1000,1009,1,1,NULL,NULL
,21,10,182,,83,5,1000,1011,1,1,NULL,NULL
,21,10,183,,83,5,1000,1011,1,1,NULL,NULL
,21,10,184,BLOT 52,56,6,628,635,1,1,NULL,NULL
,21,10,185,BLOT 53,56,6,628,633,1,1,NULL,NULL
,21,10,186,BLOT 54,56,6,628,636,1,1,NULL,NULL
,21,10,187,BLOT 55,56,6,628,636,1,1,NULL,NULL
,21,10,188,BLOT 56,56,6,628,631,1,1,NULL,NULL
,21,10,189,BLOT 57,56,6,628,633,1,1,NULL,NULL
,21,10,190,BLOT 58,56,6,628,636,1,1,NULL,NULL
,21,10,191,BLOT 59,56,6,564,569,1,1,NULL,NULL
(GPC),21,10,192,,75,7,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,193,,75,7,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,194,,75,7,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,195,,75,7,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,196,,75,7,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,197,,56,8,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,198,,56,8,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,199,,56,8,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,200,,83,9,NULL,NULL,1,1,NULL,NULL
(GPC),21,10,201,,83,9,NULL,NULL,1,1,NULL,NULL
,21,10,202,BLOT 60,57,10,335,335,1,1,NULL,NULL
,21,10,203,BLOT 61,57,10,335,335,1,1,NULL,NULL
,21,10,204,BLOT 62,57,10,335,336,1,1,NULL,NULL
,21,10,205,BLOT 63,57,10,335,335,1,1,NULL,NULL
,21,10,206,BLOT 64,57,10,335,335,1,1,NULL,NULL
,21,10,207,BLOT 65,57,10,335,336,1,1,NULL,NULL
,21,10,208,BLOT 66,57,10,335,335,1,1,NULL,NULL
,21,10,209,BLOT 67,57,10,335,335,1,1,NULL,NULL
,21,10,210,BLOT 68,57,10,300,299,1,1,NULL,NULL
,21,10,211,BLOT 69,67,11,357,358,1,1,NULL,NULL
,21,10,212,,5,12,10,NULL,1,1,NULL,NULL
,21,10,213,,5,12,10,NULL,1,1,NULL,NULL
,21,10,214,,5,12,10,NULL,1,1,NULL,NULL
,21,10,215,,5,12,9,NULL,1,1,NULL,NULL
,21,11,216,,24,14,1000,1069,1,1,NULL,NULL
,21,11,217,,26,13,1000,1024,1,1,NULL,NULL
,21,11,218,BLOT 70,67,11,192,192,1,1,NULL,NULL
,21,11,219,,46,16,129,130,1,1,NULL,NULL
,21,11,220,,45,15,NULL,1240,1,1,NULL,NULL
,21,11,221,,5,17,NULL,NULL,1,1,NULL,NULL
,21,11,222,,5,17,NULL,NULL,1,1,NULL,NULL
,21,11,223,,5,17,NULL,NULL,1,1,NULL,NULL
,21,11,224,,5,17,NULL,NULL,1,1,NULL,NULL
,21,11,225,Pixie,4,18,NULL,NULL,1,1,NULL,NULL
,21,11,226,,5,19,12,NULL,1,1,NULL,NULL
,21,11,227,,5,19,10,NULL,1,1,NULL,NULL
,21,11,228,,5,19,10,NULL,1,1,NULL,NULL
,21,11,229,,5,20,1,NULL,1,1,NULL,NULL
,21,11,230,,5,20,1,NULL,1,1,NULL,NULL
,21,11,231,,5,20,1,NULL,1,1,NULL,NULL
,21,11,232,,110,21,3000,3001,1,1,NULL,NULL
