prefix,year,month,sec_number,organization_id,client_po_num,order_date,target_completion_date,completion_date,date_entered
,21,10,037,38,010/FG/MAC/X/21,2021-10-07,2021-12-07,NULL,NULL
,21,10,038,33,10/25/2021,2021-10-25,2021-10-28,NULL,NULL
,21,10,039,39,Prolifix 01/2/2022,2021-10-22,2022-01-02,NULL,NULL
,21,10,040,39,Prolifix 1/1/2022,2021-10-22,2022-01-02,NULL,NULL
,21,10,041,39,Prolifix 2/1/2022,2021-10-22,2022-02-01,NULL,NULL
,21,10,042,33,11/2/2021,2021-10-04,NULL,NULL,NULL
,21,11,043,37,224-21,2021-10-04,NULL,NULL,NULL
,21,11,044,37,225-21,2021-10-04,NULL,NULL,NULL
,21,11,045,38,008/FG/SPI/XI/21,2021-11-01,NULL,NULL,NULL
,21,11,046,33,11/8/2021,2021-11-08,2021-11-15,NULL,NULL
,21,11,047,33,11/15/2021,2021-11-15,2021-11-22,NULL,NULL
,21,11,048,33,11/18/2021,2021-11-18,2021-11-26,NULL,NULL
,21,11,049,41,18,2021-08-26,2021-12-01,NULL,NULL
,21,11,050,37,11/9/2021,2021-11-09,NULL,NULL,NULL
,21,12,051,33,11/30/2021,2021-11-30,2021-12-04,NULL,NULL
,21,12,052,35,110-121E,2021-11-01,NULL,NULL,NULL
,21,12,053,35,111-821E,2021-11-18,NULL,NULL,NULL
,21,12,054,35,120-121E,2021-12-01,NULL,NULL,NULL
,21,12,055,33,12/6/2021,2021-12-06,2021-12-10,NULL,NULL
,21,12,056,33,12/13/2021,2021-12-13,2021-12-17,NULL,NULL
,21,12,057,38,12/FG/MOR/XI/21,2021-11-22,NULL,NULL,NULL
,21,12,058,40,NULL,NULL,NULL,NULL,NULL
,21,12,059,41,12/13/2021,2021-12-13,NULL,NULL,NULL
,21,12,060,41,12/13/2021,2021-12-13,NULL,NULL,NULL
,21,12,061,33,12/22/2021,2021-12-22,2021-12-27,NULL,NULL
,21,12,062,38,020/FG/BSO/XI/21,2021-11-15,NULL,NULL,NULL
