po_detail_id,prefix,year,month,sec_number,product_id,unit_order_qty,kilos_order_qty,special_instructions,date_entered,bid_price_per_unit,completed_and_billed,final_ship_date
1,,21,10,37,37,11000,663.32,NULL,NULL,NULL,NULL,NULL
2,,21,10,38,5,40,1000,NULL,NULL,NULL,NULL,NULL
3,,21,10,39,49,1500,NULL,NULL,NULL,NULL,NULL,NULL
4,,21,10,39,54,1500,NULL,NULL,NULL,NULL,NULL,NULL
5,,21,10,40,83,5000,NULL,NULL,NULL,NULL,NULL,NULL
6,,21,10,41,56,5000,NULL,NULL,NULL,NULL,NULL,NULL
7,,21,10,41,75,3000,NULL,NULL,NULL,NULL,NULL,NULL
8,,21,10,41,56,NULL,1366,NULL,NULL,NULL,NULL,NULL
9,,21,10,41,83,NULL,910,NULL,NULL,NULL,NULL,NULL
10,,21,10,41,57,NULL,456,NULL,NULL,NULL,NULL,NULL
11,,21,10,41,67,1500,NULL,NULL,NULL,NULL,NULL,NULL
12,,21,10,42,5,975,NULL,NULL,NULL,NULL,NULL,NULL
13,,21,11,43,26,1000,NULL,NULL,NULL,NULL,NULL,NULL
14,,21,11,44,24,1000,120,NULL,NULL,NULL,NULL,NULL
15,,21,11,45,45,1225,NULL,NULL,NULL,NULL,NULL,NULL
16,,21,11,45,46,130,NULL,NULL,NULL,NULL,NULL,NULL
17,,21,11,46,4,39,975,NULL,NULL,NULL,NULL,NULL
18,,21,11,46,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,,21,11,47,5,32,800,NULL,NULL,NULL,NULL,NULL
20,,21,11,48,5,3,9.5533,NULL,NULL,NULL,NULL,NULL
21,,21,11,49,110,3000,175.77,NULL,NULL,NULL,NULL,NULL
22,,21,11,50,26,1000,273.23,NULL,NULL,NULL,NULL,NULL
23,,21,12,51,5,3,60,NULL,NULL,NULL,NULL,NULL
24,,21,12,52,13,1000,NULL,NULL,NULL,NULL,NULL,NULL
25,,21,12,53,8,1000,NULL,NULL,NULL,NULL,NULL,NULL
26,,21,12,54,9,2000,NULL,NULL,NULL,NULL,NULL,NULL
27,,21,12,55,5,41,1030.77,NULL,NULL,NULL,NULL,NULL
28,,21,12,56,5,43,1055.91,NULL,NULL,NULL,NULL,NULL
29,,21,12,57,40,2645,NULL,NULL,NULL,NULL,NULL,NULL
30,,21,12,58,106,10000,NULL,NULL,NULL,NULL,NULL,NULL
31,,21,12,59,109,2750,NULL,NULL,NULL,NULL,NULL,NULL
32,,21,12,60,107,10000,NULL,NULL,NULL,NULL,NULL,NULL
33,,21,12,61,5,54,1350,NULL,NULL,NULL,NULL,NULL
34,,21,12,62,28,15245,NULL,NULL,NULL,NULL,NULL,NULL
35,,21,12,62,30,3400,NULL,NULL,NULL,NULL,NULL,NULL
36,,22,1,1,49,300,NULL,NULL,NULL,NULL,NULL,NULL
37,,22,1,1,52,250,NULL,NULL,NULL,NULL,NULL,NULL
38,,22,1,1,55,250,NULL,NULL,NULL,NULL,NULL,NULL
39,,22,1,1,56,250,NULL,NULL,NULL,NULL,NULL,NULL
40,,22,1,1,66,250,NULL,NULL,NULL,NULL,NULL,NULL
41,,22,1,1,70,300,NULL,NULL,NULL,NULL,NULL,NULL
42,,22,1,1,75,500,NULL,NULL,NULL,NULL,NULL,NULL
43,,22,1,1,55,400,NULL,NULL,NULL,NULL,NULL,NULL
44,,22,1,1,83,44,1092,NULL,NULL,NULL,NULL,NULL
45,,22,1,2,5,2000,74,NULL,NULL,NULL,NULL,NULL
46,,22,1,3,27,26,650,NULL,NULL,NULL,NULL,NULL
47,,22,1,4,5,3000,738,NULL,NULL,NULL,NULL,NULL
48,,22,1,5,9,750,129.86,NULL,NULL,NULL,NULL,NULL
49,,22,1,6,53,1000,173.1,NULL,NULL,NULL,NULL,NULL
50,,22,1,6,62,1500,502,NULL,NULL,NULL,NULL,NULL
51,,22,1,6,66,5000,975,NULL,NULL,NULL,NULL,NULL
52,,22,1,6,67,2500,2296,NULL,NULL,NULL,NULL,NULL
53,,22,1,6,69,5000,1159,NULL,NULL,NULL,NULL,NULL
54,,22,1,6,70,5500,5010,NULL,NULL,NULL,NULL,NULL
55,,22,1,6,75,1760,NULL,NULL,NULL,NULL,NULL,NULL
56,,22,1,7,34,2220,NULL,NULL,NULL,NULL,NULL,NULL
57,,22,1,8,23,21,521.92,NULL,NULL,NULL,NULL,NULL
58,,22,1,9,5,44,1100,NULL,NULL,NULL,NULL,NULL
59,,22,1,10,5,11000,NULL,NULL,NULL,NULL,NULL,NULL
60,,22,2,11,37,2564,NULL,NULL,NULL,NULL,NULL,NULL
61,,22,2,12,47,58,1450,NULL,NULL,NULL,NULL,NULL
62,,22,2,13,5,550,237.5,NULL,NULL,NULL,NULL,NULL
63,,22,2,14,80,40,1000,NULL,NULL,NULL,NULL,NULL
64,,22,2,15,5,1000,44.3,NULL,NULL,NULL,NULL,NULL
65,,22,2,16,99,100,134.7,NULL,NULL,NULL,NULL,NULL
66,,22,2,17,93,40,1000,NULL,NULL,NULL,NULL,NULL
67,,22,3,18,5,1050,NULL,NULL,NULL,NULL,NULL,NULL
68,,22,3,19,97,40,1000,NULL,NULL,NULL,NULL,NULL
69,,22,3,20,5,1700,NULL,NULL,NULL,NULL,NULL,NULL
70,,22,3,21,89,10000,NULL,NULL,NULL,NULL,NULL,NULL
71,,22,4,22,48,3000,94.5,NULL,NULL,NULL,NULL,NULL
72,,22,4,23,43,330,NULL,NULL,NULL,NULL,NULL,NULL
73,,22,4,24,84,2700,NULL,NULL,NULL,NULL,NULL,NULL
