organization_id,organization_initial,organization_name,date_entered,alias_name_1,alias_name_2,alias_name_3,website_url,vetted,date_vetted,risk_level,supplier,client,lab,other,notes
1,PLX,Prolifix Nutrition,2020-07-01,Prolifix,NULL,NULL,www.prolifixnutrition.com,1,NULL,No Risk,1,1,0,0,NULL
2,ARL,Albion laboratories,2022-02-17,Albion,NULL,NULL,balchem.com,0,2022-02-17,No Risk,0,0,1,0,Data from survey
3,AM,Aloha Medicinals,2022-01-19,NULL,NULL,NULL,https://alohamedicinals.com/,0,2022-01-19,UNKNOWN,1,0,0,0,Data from survey
4,ANI,AuNutra Industries Inc.,2022-02-09,AuNutra,NULL,NULL,www.aunutra.com,0,2022-02-09,UNKNOWN,1,0,0,0,Data from survey
5,AS,Azure Standard,2022-02-22,Azure Market,Azure,NULL,https://www.azurestandard.com/,0,2022-02-22,UNKNOWN,1,0,0,0,Data from survey
6,BK,Bio Kinetics Corporation,2022-01-20,Bio-Kinetics,NULL,NULL,allsprouts.com,0,2022-01-20,UNKNOWN,1,0,0,0,Data from survey
7,BS,Bulk Supplements,2022-03-09,NULL,NULL,NULL,bulksupplements.com,0,2022-03-09,UNKNOWN,1,0,0,0,Data from survey
8,CC,Cambridge Commodities,2022-02-23,NULL,NULL,NULL,cambridgecommodities.com,0,2022-02-23,UNKNOWN,1,0,0,0,Data from survey
9,ER,Ecuadorian Rainforest,2022-02-25,Ecuadorian,NULL,NULL,intotherainforest.com,0,2022-02-25,UNKNOWN,1,0,0,0,Data from survey
10,D,Daesang,2022-02-25,NULL,NULL,NULL,foodtopiausa.com,0,2022-02-25,UNKNOWN,1,0,0,0,Data from survey
11,HQO,High Quality Organics,2022-02-22,NULL,NULL,NULL,hqorganics.com,0,2022-02-22,UNKNOWN,1,0,0,0,Data from survey
12,H,Honeyville Inc.,2022-01-28,Honeyville,NULL,NULL,https://honeyville.com/,0,2022-01-28,UNKNOWN,1,0,0,0,Data from survey
13,HN,Hunan Nutramax Inc,2022-01-24,Hunan Nutramax,Nutramax,NULL,www.nutra-max.com,0,2022-01-24,UNKNOWN,1,0,0,0,Data from survey
14,LN,Liberty Natural,2022-03-09,NULL,NULL,NULL,Libertynatural.com,0,2022-03-09,UNKNOWN,1,0,0,0,Data from survey
15,LD,LiquaDry,2022-01-19,NULL,NULL,NULL,LiquaDry.com,0,2022-01-19,UNKNOWN,1,0,0,0,Data from survey
16,LOOV,LOOV Organic,2022-02-21,LOOV,NULL,NULL,loovfood.com,0,2022-02-21,UNKNOWN,1,0,0,0,Data from survey
