product_id,organization_id,product_name,type,current_product,date_entered,spec_issue_date,spec_revise_date,exp_time_frame,exp_unit,exp_type,exp_use_oldest_ingredient,default_formula_id
1,44,Fiber & Spice,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,47,Gold Fulvic Acid,Liquid,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,47,Gold Fulvic Acid,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,33,Herbal Pixie Premix,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,33,Viva Mix,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,34,Best Start Functional Protein,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,34,Limitless Protein,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,35,Amazing Greens,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,35,Amazing Greens,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,35,Amore,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,35,Breathe,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,35,Fireworks,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,35,Hemroid Harry,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,35,Irish Sea Moss,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,35,"Irish Sea Moss (bladderwrack, burdock)",Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,35,My Secret,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,35,Sweet Cheat Herbally,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,35,System Cleanse Tea,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,36,Blackseed Oil,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,36,Dutch Chocolate Whey,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,36,Earth Nutrutional Yeast,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,36,Tahitian Vanilla,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,36,Wheatgrass Juice,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,37,Beet Juice,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,37,Large Kamut Blend,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,37,Small Kamut Blend,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,43,Super 15 SBO,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,38,Large Blackseed Oil,Liquid,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,38,Large Spirulina (Pouch),Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,38,Small Blackseed Oil,Liquid,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,38,Small Spirulina (Pouch),Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,38,Ashwagandha,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,38,Black Seed Oil,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,38,Camu Camu,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,35,Candisolve,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,38,Lions Mane,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,38,Maca Plus,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,38,Mental Mushroom,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,38,Mental Mushroom,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,38,Large Moringa,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,38,Small Moringa,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,38,Moringa Capsules,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,38,Purple Sea Moss,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,38,Raw Sea Moss,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,38,Small Spirulina,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,38,Large Spirulina,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,38,Wheatgrass Juice,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,46,Tranont,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,39,Age Free,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,39,Age Free,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,39,Charconite,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,39,Free Colon,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,39,Free Colon,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,39,Free Liver,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,39,Free Liver,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,39,Green Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,39,Green Pro C,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,39,Happy Time,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,39,Happy Time,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,39,Heart Formula,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,39,Heart Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,39,Kidney Formula,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,39,Kidney Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,39,Manforce,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,39,Manforce,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,39,Small Markus Sweet,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,39,Large Markus Sweet,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,39,Night Rebuild,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,39,Night Rebuild,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,39,Parasite Free,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,39,Power Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
